Date,WellName,WT GL,WT GOR,WT LIQ,WT Oil,WT THP,WT WCT,Z1 BHP*10,Z2 BHP*10,Z3 BHP*10,Z4 BHP*10,Z6 BHP*10,Z5 BHP*10,Z7 BHP*10,Forecast IB-25,Forecast Last RoFo,WI Rate,WI BHP,WI THP,WI IB25,Z1 BHP*10,Z2 BHP*10,Z3 BHP*10
9/30/2024 0:00,elephant-21,1.880665779,1092.809204,4611.879395,3932.640869,99.90929413,1472.801971,6620,6710,5470,,,,,,,,6480,1050,,6620,6710,5470
10/3/2024 0:00,elephant-21,1.890515685,1270.786133,4080.677734,3491.853027,99.09028625,1442.958069,5940,5980,5030,,,,,,,,6390,1300,,5940,5980,5030
10/15/2024 0:00,elephant-21,1.905140519,1474.050171,3321.437744,2917.311768,97.29171753,1216.7202,5460,5440,4660,,,,,,,,5400,1020,,5460,5440,4660
10/21/2024 0:00,elephant-21,1.900714755,1457.212769,3266.561279,2870.12207,96.02381897,1213.628578,5130,5210,4310,,,,,,,,5540,1060,,5130,5210,4310
10/31/2024 0:00,elephant-21,1.860382438,1599.521606,2923.357422,2567.621826,95.54802704,1216.87336,4940,4920,4130,,,,,,,,4200,1030,,4940,4920,4130
11/15/2024 0:00,elephant-21,1.881117105,1673.276733,2750.200195,2356.612793,93.55402374,1431.122303,4830,4800,4160,,,,,,,,4130,1050,,4830,4800,4160
11/27/2024 0:00,elephant-21,1.703983903,1896.194702,2528.395264,2184.628662,91.72992706,1359.623718,4690,4660,4020,,,,,,,,4050,950,,4690,4660,4020
12/3/2024 0:00,elephant-21,1.736166358,1647.102295,2597.737793,2211.092773,91.51750946,1488.391399,4770,4600,3970,,,,,,,,4000,940,,4770,4600,3970
12/17/2024 0:00,elephant-21,1.681795478,1531.619507,2549.480225,2172.33252,90.40606689,1479.312515,4540,4520,3990,,,,,,,,3950,920,,4540,4520,3990
1/13/2025 0:00,elephant-21,1.721942544,1599.820923,2372.940918,1957.62561,89.14185333,1750.213242,4380,4360,3860,,,,,,,,3860,910,,4380,4360,3860
2/2/2025 0:00,elephant-21,1.729286194,1414.015991,2800.246338,1061.097534,89.81362915,6210.699463,5530,5520,5360,,,,,,,,5420,890,,5530,5520,5360
2/4/2025 0:00,elephant-21,2.71188426,1469.577026,2859.803223,1155.147217,92.08911133,5960.746002,5560,5560,5500,,,,,,,,5520,1510,,5560,5560,5500
2/7/2025 0:00,elephant-21,2.744528294,2063.420654,2248.594238,767.3856201,91.39121246,6587.265015,5450,6940,5360,,,,,,,,5220,920,,5450,6940,5360
2/10/2025 0:00,elephant-21,2.758439302,1966.736694,2210.124756,795.6838379,89.97815704,6399.823761,5110,7390,5020,,,,,,,,5020,850,,5110,7390,5020
2/12/2025 0:00,elephant-21,2.747790098,979.0838013,3208.865234,2609.07959,93.98672485,1869.152069,5360,5500,10010,,,,,,,,4500,930,,5360,5500,10010
3/2/2025 0:00,elephant-21,2.74236083,1419.865479,2004.145142,1589.339111,87.75056458,2069.740486,4200,4170,10990,,,,,,,,3730,920,,4200,4170,10990
4/15/2025 0:00,elephant-21,2.724038124,1423.872681,1678.726563,1262.633667,85.40032959,2478.622055,3970,3960,10980,,,,,,,,3700,870,,3970,3960,10980
4/19/2025 0:00,elephant-21,1.670952201,1528.748291,1627.716919,1209.646362,85.11532593,2568.447685,4070,4060,11010,,,,,,,,3690,870,,4070,4060,11010
